phase,model_type,grid_id,compiler,run_id,n_states,n_actions,t_prepare,t_ground,t_compile,gp_atoms,gp_nodes,circuit_nodes,circuit_edges,status,error_msg,gamma,epsilon,t_vi,n_iterations,t_per_iter,n_wmc_transition,t_wmc_transition,t_per_transition,n_wmc_reward,t_wmc_reward,t_per_reward,t_bellman_total
B,multivalued,6,ddnnf,3,128,5,1.8834604959993158,1.085853133990895,0.7439638299983926,903,2572,2572,3850,success,,0.99,0.0001,19.017804376999266,15,1.2678536251332844,640,16.427813977148617,0.025668459339294715,640,1.4445276888727676,0.0022570745138636994,1.1454627109778812
B,multivalued,7,ddnnf,1,256,5,5.377271606004797,2.5500532790028956,2.670239553990541,1799,5132,5132,7690,success,,0.9,0.1,135.30148177799128,16,8.456342611124455,1280,124.76282323361374,0.09747095565126074,1280,6.057635803867015,0.004732527971771106,4.481022740510525
B,multivalued,7,ddnnf,2,256,5,5.186101296989364,2.383815910012345,2.6537976440013153,1799,5132,5132,7690,success,,0.9,0.1,132.95169127799454,16,8.309480704874659,1280,122.74350151605904,0.09589336055942113,1280,5.929541077872273,0.004632453967087713,4.278648684063228
B,multivalued,7,ddnnf,3,256,5,5.18801214400446,2.3735745180019876,2.671658512990689,1799,5132,5132,7690,success,,0.9,0.1,130.2637064159935,16,8.141481650999594,1280,119.91950451892626,0.09368711290541114,1280,5.80689506517956,0.0045366367696715315,4.53730683188769
B,multivalued,7,ddnnf,1,256,5,5.363288291991921,2.4863633070053766,2.7239816180081107,1799,5132,5132,7690,success,,0.9,0.0001,128.36919427500106,16,8.023074642187566,1280,118.36268473099335,0.09247084744608855,1280,5.815567055149586,0.004543411761835614,4.190942488858127
B,multivalued,7,ddnnf,2,256,5,5.264967886992963,2.3043614349880954,2.8210284980013967,1799,5132,5132,7690,success,,0.9,0.0001,125.04415246099234,16,7.815259528812021,1280,115.1941925152205,0.089995462902516,1280,5.679412843019236,0.004437041283608778,4.170547102752607
B,multivalued,7,ddnnf,3,256,5,5.134910446999129,2.324431988003198,2.6677294649998657,1799,5132,5132,7690,success,,0.9,0.0001,124.72546648500429,16,7.795341655312768,1280,114.94194358665845,0.08979839342707692,1280,5.639962656918215,0.004406220825717355,4.143560241427622
B,multivalued,7,ddnnf,1,256,5,5.148603941008332,2.2912375859887106,2.7133955040044384,1799,5132,5132,7690,success,,0.99,0.1,124.97419326599629,16,7.810887079124768,1280,115.12914769774943,0.08994464663886674,1280,5.684133622111403,0.004440729392274534,4.160911946135457
B,multivalued,7,ddnnf,2,256,5,5.182335500008776,2.31865562099847,2.7281488820008235,1799,5132,5132,7690,success,,0.99,0.1,124.83380324600148,16,7.8021127028750925,1280,115.01698388346995,0.0898570186589609,1280,5.6715700773347635,0.004430914122917784,4.145249285196769
B,multivalued,7,ddnnf,3,256,5,5.094181489999755,2.304112855999847,2.643986308001331,1799,5132,5132,7690,success,,0.99,0.1,124.89407604601001,16,7.805879752875626,1280,115.09769041698019,0.08992007063826576,1280,5.648550257072202,0.004412929888337658,4.147835371957626
B,multivalued,7,ddnnf,1,256,5,5.353482377991895,2.3135439680045238,2.902451543006464,1799,5132,5132,7690,success,,0.99,0.0001,125.1437014569965,16,7.821481341062281,1280,115.1628155530052,0.08997094965078531,1280,5.760203703044681,0.004500159143003657,4.220682200946612
B,multivalued,7,ddnnf,2,256,5,5.088679601991316,2.2879551210062345,2.6611973289982416,1799,5132,5132,7690,success,,0.99,0.0001,126.1883110130002,16,7.886769438312513,1280,116.34818905389693,0.09089702269835698,1280,5.6317486420157366,0.0043998036265747945,4.208373317087535
B,multivalued,7,ddnnf,3,256,5,5.359502881998196,2.3113905459904345,2.9009789830015507,1799,5132,5132,7690,success,,0.99,0.0001,124.73582397999417,16,7.795988998749635,1280,114.89742711521103,0.08976361493375862,1280,5.662018224247731,0.00442345173769354,4.176378640535404
B,multivalued,0,ddnnf,1,2,5,0.025979832993471064,0.009851836002781056,0.004893306002486497,21,52,52,70,success,,0.9,0.1,0.002750799001660198,2,0.001375399500830099,10,0.0014438180078286678,0.0001443818007828668,10,0.0007540789956692606,7.540789956692607e-05,0.0005529019981622696
B,multivalued,0,ddnnf,2,2,5,0.026146402989979833,0.00975438799650874,0.004250929006957449,21,52,52,70,success,,0.9,0.1,0.002594541001599282,2,0.001297270500799641,10,0.0013378189760260284,0.00013378189760260284,10,0.0007282290025614202,7.282290025614201e-05,0.0005284930230118334
B,multivalued,0,ddnnf,3,2,5,0.02252784800657537,0.009781811007997021,0.004373157004010864,21,52,52,70,success,,0.9,0.1,0.0025601029919926077,2,0.0012800514959963039,10,0.0013281619467306882,0.00013281619467306883,10,0.0007156779756769538,7.156779756769537e-05,0.0005162630695849657
B,multivalued,0,ddnnf,1,2,5,0.02347509699757211,0.009855997996055521,0.0040738810057519,21,52,52,70,success,,0.9,0.0001,0.0025661709951236844,2,0.0012830854975618422,10,0.001323338015936315,0.0001323338015936315,10,0.0007218190148705617,7.218190148705617e-05,0.0005210139643168077
B,multivalued,0,ddnnf,2,2,5,0.026207768998574466,0.010492782996152528,0.004030680996947922,21,52,52,70,success,,0.9,0.0001,0.0025551290018483996,2,0.0012775645009241998,10,0.0013174080377211794,0.00013174080377211794,10,0.0007151870086090639,7.15187008609064e-05,0.0005225339555181563
B,multivalued,0,ddnnf,3,2,5,0.0256869760050904,0.009508253991953097,0.00397218600846827,21,52,52,70,success,,0.9,0.0001,0.002679056007764302,2,0.001339528003882151,10,0.001398156993673183,0.0001398156993673183,10,0.0007352269749389961,7.352269749389961e-05,0.000545672039152123
B,multivalued,0,ddnnf,1,2,5,0.024563774990383536,0.009904656006256118,0.004142935998970643,21,52,52,70,success,,0.99,0.1,0.0026479389925953,2,0.00132396949629765,10,0.0013340029690880328,0.00013340029690880328,10,0.0007632299675606191,7.632299675606192e-05,0.0005507060559466481
B,multivalued,0,ddnnf,2,2,5,0.022566674000700004,0.010127139001269825,0.003991753997979686,21,52,52,70,success,,0.99,0.1,0.0025792730011744425,2,0.0012896365005872212,10,0.0013334699615370482,0.00013334699615370483,10,0.0007200740365078673,7.200740365078672e-05,0.000525729003129527
B,multivalued,0,ddnnf,3,2,5,0.02479104600206483,0.009643596000387333,0.0039450939948437735,21,52,52,70,success,,0.99,0.1,0.0025576460029697046,2,0.0012788230014848523,10,0.0013351789966691285,0.00013351789966691284,10,0.0007007719832472503,7.007719832472504e-05,0.0005216950230533257
B,multivalued,0,ddnnf,1,2,5,0.025372700998559594,0.010255055007291958,0.003872178989695385,21,52,52,70,success,,0.99,0.0001,0.002576245999080129,2,0.0012881229995400645,10,0.0013247489841887727,0.00013247489841887726,10,0.0007261190039571375,7.261190039571374e-05,0.0005253780109342188
B,multivalued,0,ddnnf,2,2,5,0.02520615501271095,0.010148720000870526,0.0038228909979807213,21,52,52,70,success,,0.99,0.0001,0.002552699006628245,2,0.0012763495033141226,10,0.001304631048697047,0.0001304631048697047,10,0.0007222110434668139,7.222110434668139e-05,0.0005258569144643843
B,multivalued,0,ddnnf,3,2,5,0.024698606008314528,0.010154657007660717,0.004283932008547708,21,52,52,70,success,,0.99,0.0001,0.002496127999620512,2,0.001248063999810256,10,0.001270546970772557,0.0001270546970772557,10,0.000713412999175489,7.134129991754889e-05,0.0005121680296724662
B,multivalued,1,ddnnf,1,4,5,0.0422658519964898,0.02560574299423024,0.007288904002052732,35,92,92,130,success,,0.9,0.1,0.007635086003574543,2,0.0038175430017872714,20,0.004806375014595687,0.00024031875072978438,20,0.0019343039457453415,9.671519728726707e-05,0.0008944070432335138
B,multivalued,1,ddnnf,2,4,5,0.039871087996289134,0.020708691998152062,0.007376437992206775,35,92,92,130,success,,0.9,0.1,0.008071955991908908,2,0.004035977995954454,20,0.005134996026754379,0.00025674980133771896,20,0.002005297996220179,0.00010026489981100895,0.0009316619689343497
