phase,model_type,grid_id,compiler,run_id,n_states,n_actions,t_prepare,t_ground,t_compile,gp_atoms,gp_nodes,circuit_nodes,circuit_edges,status,error_msg
A,multivalued,2,sdd,3,8,5,0.07083750499987218,0.037727668000115955,0.02312165399962396,72,181,181,258,success,
A,multivalued,3,ddnnf,1,16,5,0.13448770500053797,0.07800641399990127,0.04395583899986377,136,349,349,506,success,
A,multivalued,3,ddnnf,2,16,5,0.13770199999999022,0.07785696100017958,0.04732183800024359,136,349,349,506,success,
A,multivalued,3,ddnnf,3,16,5,0.13489318799929606,0.07783844799996587,0.04450022700075351,136,349,349,506,success,
A,multivalued,3,sdd,1,16,5,0.1407519369995498,0.07762203999936901,0.050644588000068325,136,349,349,506,success,
A,multivalued,3,sdd,2,16,5,0.13427511800000502,0.07793978900008369,0.044186127000102715,136,349,349,506,success,
A,multivalued,3,sdd,3,16,5,0.13812283200059028,0.07817928199983726,0.04756770000039978,136,349,349,506,success,
A,multivalued,4,ddnnf,1,32,5,0.32802980200085585,0.17427969299933466,0.13436782600001607,264,685,685,1002,success,
A,multivalued,4,ddnnf,2,32,5,0.32719135000024835,0.17587636899952486,0.13181079700007103,264,685,685,1002,success,
A,multivalued,4,ddnnf,3,32,5,0.32615676000023086,0.1759187400002702,0.12985905000005005,264,685,685,1002,success,
A,multivalued,4,sdd,1,32,5,0.32252616099958686,0.17362922399934178,0.1298024580000856,264,685,685,1002,success,
A,multivalued,4,sdd,2,32,5,0.33179352800016204,0.17505928199989285,0.13702914900022733,264,685,685,1002,success,
A,multivalued,4,sdd,3,32,5,0.33375693899961334,0.1795911579993117,0.13371784400078468,264,685,685,1002,success,
A,multivalued,5,ddnnf,1,64,5,0.8961269890005497,0.41109206399960385,0.4456062179997389,520,1357,1357,1994,success,
A,multivalued,5,ddnnf,2,64,5,0.9107518000000709,0.410672359000273,0.4611500379996869,520,1357,1357,1994,success,
A,multivalued,5,ddnnf,3,64,5,0.8978933700000198,0.41103779600052803,0.44695321899962437,520,1357,1357,1994,success,
A,multivalued,5,sdd,1,64,5,0.9025224919996617,0.4146069850003187,0.44760954400044284,520,1357,1357,1994,success,
A,multivalued,5,sdd,2,64,5,0.8886925360002351,0.4032158999998501,0.4451022879993616,520,1357,1357,1994,success,
A,multivalued,5,sdd,3,64,5,0.925116517000788,0.4088002349999442,0.47583300699989195,520,1357,1357,1994,success,
A,multivalued,6,ddnnf,1,128,5,2.406823870000153,0.9824198890000844,1.3188343089996124,1032,2701,2701,3978,success,
A,multivalued,6,ddnnf,2,128,5,2.430700457999592,0.9783435720000853,1.3468354050000926,1032,2701,2701,3978,success,
A,multivalued,6,ddnnf,3,128,5,2.3751288310004384,0.9742714579997482,1.2967164019992197,1032,2701,2701,3978,success,
A,multivalued,6,sdd,1,128,5,2.4084439870002825,0.9855968009997014,1.3137614709994523,1032,2701,2701,3978,success,
A,multivalued,6,sdd,2,128,5,2.4242425840002397,0.9810887300000104,1.3366251380002723,1032,2701,2701,3978,success,
A,multivalued,6,sdd,3,128,5,2.418389939000008,0.9905607970003985,1.3187059809997663,1032,2701,2701,3978,success,
A,multivalued,7,ddnnf,1,256,5,8.336537187999966,2.30355178300033,5.689698831999522,2056,5389,5389,7946,success,
A,multivalued,7,ddnnf,2,256,5,8.799738824000087,2.5263215770000897,5.9054999359996145,2056,5389,5389,7946,success,
A,multivalued,7,ddnnf,3,256,5,8.76458253600049,2.5205099660006454,5.868771590000506,2056,5389,5389,7946,success,
A,multivalued,7,sdd,1,256,5,8.809092330000567,2.4297184480001306,5.997456430999591,2056,5389,5389,7946,success,
A,multivalued,7,sdd,2,256,5,8.59908070199981,2.388698444999136,5.854528924000078,2056,5389,5389,7946,success,
A,multivalued,7,sdd,3,256,5,8.535230894000051,2.408499832000416,5.775427773000047,2056,5389,5389,7946,success,
